1,2020-05-16 23:59:06,,"@nytimes @MikeIsaac @sheeraf @ceciliakang What???

Did he stop ranking how hot the girls on campus are b/c everyone went home after the COVID-19 pandemic?"
2,2020-05-16 23:58:48,kumasi_Suame ,Tory against #COVID__19 pandemic
3,2020-05-16 23:58:23,,"@TheRevAl @hughhewitt If this Corona Pandemic wasn’t so serious, his statement would be laughable!"
4,2020-05-16 23:57:23,"Melbourne, Australia",Missed a great opportunity this week to discuss the lack of Fed Gov funding for the COVID-19 pandemic mental health plan. $48mill for plan is worful. #insiders
5,2020-05-16 23:57:15,,@KimberlyKern77 @MisSouthms They can simultaneously believe his claim that Corona virus is ‘totally under control’ and that he ‘knew all along that it was going to be a pandemic’. That’s mental dexterity 🤣🤣🤣
6,2020-05-16 23:57:09,"North Carolina, USA",Bill Gates and his Davis buddies organized a rehearsal for COVID 19 in NYC in November. They discussed messaging and all sorts of details. Two months later COV19 reaches our shores. This is all about a vaccine to reduce population. That’s the PURPOSE of this man made pandemic.
7,2020-05-16 23:56:52,"Fort Collins, CO",Is anybody else getting tired of Face ID not working because you’re wearing a mask? I really want touch ID to come back. #Pandemic #iPhone #COVID19 @Apple
8,2020-05-16 23:55:41,United Kingdom,@agriprince @PTAofficialpk @Shafeeq40708920 I think last year i used it but did'nt registered because it was'nt meeded that time.this time i came back but it did'nt worked.PTA should give us 60 days time again specially under CORONA PANDEMIC #Covid_19
9,2020-05-16 23:54:07,,@TruthSleuthYT The HIV/Aids pandemic has been going on for many years now. Many palettes have been released during that time. Death is 24/7/365. No time would be a good time with this logic. Covid-19 deaths are not more important than all of the others daily ffs.
10,2020-05-16 23:54:05,,"@seyiamakinde Sir, our major problems in this state are Commercial drivers, Okada riders, and law enforcement agents. If these set of people can be controlled, our problem in this state as per COVID-19 pandemic is half solved."
11,2020-05-16 23:53:20,Manas-Sarovar,"clean the air of poisonous substances and harmful organisms. I learnt this Homa in the 90s from a group of people who spread the findings of the research and the utility of the Homa. At the current time of crisis of the pandemic spread of Corona Virus (Covid-19) 
~2~"
12,2020-05-16 23:53:00,,@atsudavoh #MyBitsikaafrica #MyBitsikastory $Adeoyesams$ Sir I work in a company called zartech when the covid19 pandemic started they sacked many workers but am lucky to be among those who are still working RightNow but I don't have much to go to work till the end of the month
13,2020-05-16 23:52:39,West Virginia,"During the Covid-19 pandemic:

Clowns to the left of me, jokers to the right.

Here I am....."
14,2020-05-16 23:52:29,Nairobi ,The strongest trees don't grow in the best soil but they grow in the strongest winds. The uncertainty of the #COVID__19 pandemic for #Entrepreneurship is all over. The problems arise when we think we're the only ones who feel the pressure and get overwhelmed by it. @wibkenya
15,2020-05-16 23:52:26,Vancouver,Glad to hear that @distributedbio (from the #Netflix #documentary series #Pandemic: How to Prevent an Outbreak) are not only trying to eliminate the #flu with a universal #FluShot but that they are now focusing their work &amp; efforts on finding a #vaccine for #Covid19! #CoronaVirus
16,2020-05-16 23:52:17,"Raleigh, NC","@redfrozenseven @TomPiroli Say that a real pandemic came along (unlike COVID-19, which is not a pandemic). It lasts a year, like most pandemics. Only contact with your family is safe.

If the pandemic is serious enough to keep churches from gathering, then yes, I do believe that Communion waits 12 months."
17,2020-05-16 23:51:24,"Columbus, OH","I’m so thankful I have so many friends on Facebook who have done all the research on pandemic procedures — so I don’t need to bother lisenting to scientists, experts or doctors.  Who needs a PhD anyway -We’ve got YouTube videos and memes to tell us the truth 🙄 #covid #Covid_19"
18,2020-05-16 23:50:50,NYC the greatest city on earth,"Who loathes Obama?
Obama rips 'folks in charge' while discussing COVID-19 response in commencement speech
Former President Obama took a shot at government officials in charge of responding to the coronavirus, arguing Saturday that the pandemic showed they were incompetent."
19,2020-05-16 23:50:30,"Abuja, Nigeria","As the International Day of Living Together in Peace is celebrated, people, communities, subregions and regions should embrace reconciliation and peace especially at this critical moment of a global pandemic. Peace is a right, can be achieved. With peace, COVID-19 in pieces!"
20,2020-05-16 23:50:19,England & San Francisco ,"@SpeakingTheTr14 @SenSchumer As much as I believe that the accusations should be taken more seriously than they have been, this really is not the time for this stuff. 

Thousands are dying, and our President cares more about playing golf. That’s what we need to unite against during this #COVID__19 Pandemic."
