1,2020-05-23 09:00:32,India,Had an excellent talk with President @GotabayaR.  Sri Lanka is fighting COVID-19 effectively under his leadership. India will continue to support our close maritime neighbour in dealing with the pandemic and its economic impact.
2,2020-05-23 01:24:39,"Edina, MN and Washington, DC","COVID 19 Update May 22: The most dangerous current effect of the pandemic may be denial.

Denial this was bad. Denial it has killed significant number of people. Denial it might come back even stronger.

Most of all, denial that social distancing actions had a big impact.1/"
3,2020-05-22 10:02:06,,"Meeting of the 22 like minded Political Parties begins virtually to dicuss Covid-19 &amp; economic pandemic.

Meeting condoles the deaths caused by Amphan Cyclon in West Bengal &amp; Orissa. 

Smt. Sonia Gandhi delivers her opening remarks."
4,2020-05-23 23:08:55,"Washington, USA",watching Space Jam for the first time and holy cow and it basically exactly predicts the #COVID19 pandemic aside from the cartoon aliens
5,2020-05-23 23:08:38,mojave desert ca,"TX IS BEGINNING TO REALLY GO SOUR, FIRST THE AG TRIED TO STOP MAIL IN, OVERRULED,
NOW A GOP COUNTY CHAIR JUST SAID PANDEMIC IS DEMOCRATIC HOAX, ANOTHER SAID YOU HAVE .05% OF CATCHING CORONA

ALL OF THIS WAS JUST SAID, NO JOKE, THERE ARE PEOPLE OUT THERE WHO HAVE NO
FUCKING CLUE!!"
6,2020-05-23 23:08:22,A bit of everywhere ,"@TEMIT0PE I read somewhere that one of the ways pandemic ends is that people just literally move on. And I think that’s the stage we are with corona now. 
Nobody cares"
7,2020-05-23 23:07:28,"San Antonio, Texas, USA","My extended family has just lost someone to COVID19. 
The cruelty of those who can call a pandemic (or a school shooting) a hoax, is beyond belief, and their character and professed Christianity is entirely beneath contempt. Such monsters have no business leading any free people."
8,2020-05-23 23:06:09,,"@DougJones Just donated, again! I’m on a small pension, but, I give what I can, when I can! My vote is yours!! No question. The Governor should be sending mail in votes to all Alabamians in this pandemic. Enough with absentee voting; but you need a reason. How about, “fear of Covid19?!"
9,2020-05-23 23:05:43,,"@Daytobehappy He would have handled the pandemic in a much different manner, He would have shot everyone who had COVID19. That would have flattened the curve and the poor souls who contracted it. You know what, i'll stick with T thank you."
10,2020-05-23 23:05:30,Towards Jannah Inshaa Allah,of those who have passed away and make life easier for those who are still alive especially during this trying times and bring an end to COVID19 pandemic. In shaa Allah 🙏🏻😇
11,2020-05-23 23:05:18,Downtown #skidrow Los Angeles,".@santiagoad53 I'm a constituent. This pandemic has made it clear that our housing and homelessness crisis is deadly. Will you join me and commit to creating 15,000 safe homes for the people across L.A. County who are the most vulnerable to COVID-19? #EveryoneIn"
12,2020-05-23 23:04:31,"Makati City, NCR, PH","Two things:

1.) The monopoly of the DOH of the testing aspect, as well as the bottlenecks thereof are the ones causing the slow testing capacity towards dealing with the covid-19 virus pandemic. Decentralization of it must begin right now to expedite judiciously the process and"
13,2020-05-23 23:04:23,Hyderabad,"UN Secretary-General Antonio Guterres has called for solidarity and unity in the context of the Covid-19 pandemic in his Eid message.
""Our world is like one body. As long as one part is affected by this virus, we all are affected."
