1,2020-05-23 09:00:32,India,Had an excellent talk with President @GotabayaR.  Sri Lanka is fighting COVID-19 effectively under his leadership. India will continue to support our close maritime neighbour in dealing with the pandemic and its economic impact.
2,2020-05-23 01:24:39,"Edina, MN and Washington, DC","COVID 19 Update May 22: The most dangerous current effect of the pandemic may be denial.

Denial this was bad. Denial it has killed significant number of people. Denial it might come back even stronger.

Most of all, denial that social distancing actions had a big impact.1/"
3,2020-05-22 10:02:06,,"Meeting of the 22 like minded Political Parties begins virtually to dicuss Covid-19 &amp; economic pandemic.

Meeting condoles the deaths caused by Amphan Cyclon in West Bengal &amp; Orissa. 

Smt. Sonia Gandhi delivers her opening remarks."
4,2020-05-22 06:44:57,"Mumbai, India","I just remembered, just at the beginning of the pandemic in India, I mean after we accepted it was a health emergency, various cities hosted Gaumootra parties. For youngsters and foreigners Gau is cow and Mootra is Urine. Yeah people drank Urine in those parties to defeat CORONA."
5,2020-05-22 05:30:52,"Goa, India","After creating chaos in MP now the BJP in Maha are trying to destabilize the govt despite the ongoing pandemic. 

BJP is indulging itself in dramatic politics to settle political score, while the Maha Govt is working tirelessly to fight against #Covid_19.

#महाराष्ट्रद्रोहीBJP"
6,2020-05-22 14:07:52,New Delhi,"The tension along Line of Actual Control nothwithstanding, India is doubling down on infrastructure building in border areas. All roads and tunneling projects in border areas will be resumed in the next few days. They had been scaled down because the Covid-19 pandemic"
7,2020-05-22 21:06:50,,One thing the COVID-19 pandemic should teach us is that universal healthcare and paid sick leave are necessary to the security of our economy.
8,2020-05-23 18:33:39,Galway ,There are a number of urgent actions that need to be prioritised by this Govt and next to help people survive and get back on their feet during and after the #Covid19 pandemic. Targeting those on €350 a week is not one of them.
9,2020-05-22 10:20:47,"Mumbai, India",Shiv Sena leader Aditya T shud not speak abt lows n world records..becz of his spineless chief minster..Maharashtra has the highest Corona numbers of all times!! Getting compared to New York now.. have some shame n do some real work n save us from this pandemic!!!
10,2020-05-23 15:17:46,"Santa Fe, NM USA","The COVID19 pandemic shows we need a better medical model and educational model to deal with the stress of our new technology and its disruption of the organic basis of life. Yoga, Ayurveda and Vedanta can provide the wisdom and practical methods to do this."
11,2020-05-23 20:00:29,"Syracuse, NY","The United States' threats to intercept 5 Iranian tankers bringing aid to #Venezuela are an act of war that violates international laws. During this #COVID19 #pandemic, I support international solidarity and the #GlobalCeasefire."
12,2020-05-23 13:26:49,,"During the #COVID19 pandemic, some days might feel better than others, and that’s okay. 

Jonathan in Suriname reminds us to be at peace with all our emotions - he likes to express his with art 🎨. 
@voicesofyouth"
13,2020-05-23 15:24:53,"Mantralaya, Mumbai","CM Uddhav Balasaheb Thackeray today held a video conference with the BMC's hospitals, deans, medical officers and doctors. 

He expressed that there is no doubt that they will be the architects of this victory once the Corona pandemic is over."
14,2020-05-23 07:18:19,"Geneva, Switzerland","#ICYMI

Watch @Winnie_Byanyima and other feminist leaders discuss how to meaningfully include women and girls in the global response to #COVID19, and how to ensure reproductive and sexual health justice during the pandemic."
15,2020-05-23 12:00:39,"Santiago, Chile","When we overcome this #COVID19 pandemic, we must build back better. More equal and inclusive societies, with better living and working conditions for everyone. #WeAreAllInThisTogether, we need to go through it together."
